field,shape,dtype,meaning
"edge_index","[2, E]","int64","branch endpoints [from; to] (lines then transformers) — the static graph"
"edge_reactance","[E]","float32","per-branch reactance (p.u.)"
"node_x","[N, 4]","float32","[ |V| p.u., P_inj MW, Q_inj MVAr, theta deg ] per bus"
"node_m","[N, 4]","float32","node availability mask (1 = metered; masked entries zeroed)"
"edge_x","[E, 2]","float32","[ P_from MW, Q_from MVAr ] per branch"
"edge_m","[E, 2]","float32","edge availability mask"
"y","[N]","float32","localization target: 1 = bus attacked, 0 = clean"
"temporal_delta","[N, 2]","float32","v0.3+: current-minus-previous-scan [dP_inj, dQ_inj]"
"family","scalar","int","0 benign 1 Ao 2 Ad 3 As 4 Ar 5 ramp 6 LRA"
"stealthy","scalar","int","1 if the attack evades classical bad-data detection"
"split","scalar","int","0 train 1 val 2 test (60/20/20 chronological)"
"seq_id","scalar","int","ramp-sequence id (>=0 groups one ramp); -1 otherwise"
"timestep","scalar","int","source operating-point index"
"gap","scalar","int","1 if a physics non-convergence NA row (~0% shipped)"
